map_name,route_name_training,condition,key,route_name_actual,map.thisRepN,map.thisTrialN,map.thisN,map.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,map2.thisRepN,map2.thisTrialN,map2.thisN,map2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_text.stopped,consent_key_resp.keys,consent_key_resp.rt,consent_key_resp.started,consent_key_resp.stopped,text_2.started,text_2.stopped,journey_map_2.started,journey_map_2.stopped,routes_training.started,routes_training.stopped,text_3.started,text_3.stopped,training_resp.keys,training_resp.rt,training_resp.started,training_resp.stopped,text_8.started,text_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,journey_map.started,journey_map.stopped,route_actual.started,route_actual.stopped,text_actual.started,text_actual.stopped,response_2.keys,response_2.rt,response_2.started,response_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,ID (INITIALS and TODAYS DATE),date,expName,psychopyVersion,frameRate,compensated
,,green c,i,routes_actual/p3_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,1,2,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,529.6398224,None,529.1631657,529.6734003,i,6.7924775,529.6398224,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green c,e,routes_actual/p3_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,1,3,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,537.0726109,None,536.5808655,537.0892563,e,4.1614733,537.0726109,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f2,e,routes_actual/p1_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,1,4,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,541.8720165,None,541.3726669,541.8720165,e,4.2054175,541.8720165,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f2,i,routes_actual/p3_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,1,5,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,546.7212843,None,546.2221439,546.7380503,i,1.4214771,546.7212843,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green c,i,routes_actual/p2_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,1,6,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,548.8042236,None,548.3172262,548.8211355,i,1.270595,548.8042236,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f1,e,routes_actual/p2_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,1,7,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,550.7374966,None,550.2406898,550.75422,i,0.757699,550.7374966,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green f1,e,routes_actual/p3_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,1,8,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,552.1372449,None,551.6452656,552.1537502,e,3.7506743,552.1372449,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f2,e,routes_actual/p2_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,1,9,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,556.519907,None,556.0235473,556.5367446,e,2.6825488,556.519907,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f1,i,routes_actual/p2_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,1,10,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,559.8364102,None,559.3479173,559.8528914,i,4.6133591,559.8364102,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f2,e,routes_actual/p3_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,1,11,29,17,,,,,,,,,,,,,,,,,,,,,,,,,,,565.0857142,None,564.5901115,565.1022103,i,4.46646,565.0857142,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green f1,e,routes_actual/p1_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,1,12,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,570.1837678,None,569.6929071,570.2009151,e,17.0714648,570.1837678,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green c,e,routes_actual/p1_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,1,13,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,587.9328466,None,587.4382629,587.9497818,i,1.5445691,587.9328466,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,not compensated
,,green c,i,routes_actual/p1_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,1,14,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,590.1156502,None,589.6201587,590.1324076,i,9.1487443,590.1156502,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
,,green f1,i,routes_actual/p1_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,1,15,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,599.8977522,None,599.4081544,599.9145401,i,2.230677,599.8977522,None,,,,,,,DM10022020,2020_Feb_10_1654,FOCO (colour),3.2.4,60.18668708,compensated
